time, S, I, R
0.05,189.905,10.0451,0.0501126
0.1,189.809,10.0903,0.100451
0.15,189.713,10.1357,0.151016
0.2,189.617,10.1812,0.201808
0.25,189.52,10.2269,0.252829
0.3,189.423,10.2728,0.304078
0.35,189.326,10.3188,0.355557
0.4,189.228,10.365,0.407266
0.45,189.13,10.4113,0.459207
0.5,189.031,10.4578,0.511379
0.55,188.932,10.5044,0.563785
0.6,188.832,10.5512,0.616423
0.65,188.733,10.5981,0.669297
0.7,188.632,10.6452,0.722405
0.75,188.532,10.6925,0.775749
0.8,188.431,10.7399,0.82933
0.85,188.329,10.7874,0.883148
0.9,188.228,10.8352,0.937205
0.95,188.125,10.883,0.9915
1,188.023,10.9311,1.04604
1.05,187.92,10.9793,1.10081
1.1,187.817,11.0276,1.15583
1.15,187.713,11.0761,1.21109
1.2,187.609,11.1248,1.26659
1.25,187.504,11.1736,1.32234
1.3,187.399,11.2225,1.37833
1.35,187.294,11.2716,1.43456
1.4,187.188,11.3209,1.49104
1.45,187.082,11.3704,1.54777
1.5,186.975,11.4199,1.60475
1.55,186.868,11.4697,1.66197
1.6,186.761,11.5196,1.71944
1.65,186.653,11.5696,1.77717
1.7,186.545,11.6198,1.83514
1.75,186.436,11.6702,1.89336
1.8,186.327,11.7207,1.95184
1.85,186.218,11.7714,2.01057
1.9,186.108,11.8222,2.06956
1.95,185.998,11.8732,2.12879
2,185.887,11.9243,2.18829
2.05,185.776,11.9756,2.24804
2.1,185.665,12.027,2.30804
2.15,185.553,12.0786,2.36831
2.2,185.441,12.1304,2.42883
2.25,185.328,12.1823,2.48961
2.3,185.215,12.2343,2.55065
2.35,185.102,12.2865,2.61195
2.4,184.988,12.3389,2.67352
2.45,184.873,12.3914,2.73534
2.5,184.759,12.444,2.79743
2.55,184.643,12.4968,2.85978
2.6,184.528,12.5498,2.9224
2.65,184.412,12.6029,2.98528
2.7,184.295,12.6562,3.04843
2.75,184.179,12.7096,3.11184
2.8,184.061,12.7632,3.17553
2.85,183.944,12.8169,3.23948
2.9,183.826,12.8708,3.3037
2.95,183.707,12.9248,3.36818
3,183.588,12.979,3.43294
3.05,183.469,13.0333,3.49797
3.1,183.349,13.0877,3.56328
3.15,183.229,13.1424,3.62885
3.2,183.108,13.1971,3.6947
3.25,182.987,13.252,3.76082
3.3,182.866,13.3071,3.82722
3.35,182.744,13.3623,3.8939
3.4,182.621,13.4177,3.96084
3.45,182.499,13.4732,4.02807
3.5,182.376,13.5288,4.09558
3.55,182.252,13.5846,4.16336
3.6,182.128,13.6406,4.23142
3.65,182.004,13.6966,4.29977
3.7,181.879,13.7529,4.36839
3.75,181.753,13.8093,4.4373
3.8,181.628,13.8658,4.50648
3.85,181.502,13.9224,4.57595
3.9,181.375,13.9792,4.64571
3.95,181.248,14.0362,4.71575
4,181.121,14.0933,4.78607
4.05,180.993,14.1505,4.85668
4.1,180.865,14.2079,4.92757
4.15,180.736,14.2654,4.99876
4.2,180.607,14.3231,5.07023
4.25,180.477,14.3809,5.14199
4.3,180.347,14.4388,5.21404
4.35,180.217,14.4969,5.28638
4.4,180.086,14.5551,5.35901
4.45,179.955,14.6134,5.43193
4.5,179.823,14.6719,5.50514
4.55,179.691,14.7306,5.57865
4.6,179.558,14.7893,5.65245
4.65,179.425,14.8482,5.72654
4.7,179.292,14.9072,5.80093
4.75,179.158,14.9664,5.87561
4.8,179.024,15.0257,5.95059
4.85,178.889,15.0852,6.02587
4.9,178.754,15.1447,6.10145
4.95,178.618,15.2044,6.17732
5,178.482,15.2643,6.25349
5.05,178.346,15.3242,6.32996
5.1,178.209,15.3843,6.40673
5.15,178.072,15.4445,6.4838
5.2,177.934,15.5049,6.56118
5.25,177.796,15.5654,6.63885
5.3,177.657,15.626,6.71683
5.35,177.518,15.6867,6.79511
5.4,177.379,15.7476,6.8737
5.45,177.239,15.8086,6.95259
5.5,177.099,15.8697,7.03179
5.55,176.958,15.9309,7.11129
5.6,176.817,15.9923,7.1911
5.65,176.675,16.0538,7.27121
5.7,176.533,16.1154,7.35163
5.75,176.391,16.1771,7.43236
5.8,176.248,16.239,7.5134
5.85,176.104,16.3009,7.59475
5.9,175.961,16.363,7.67641
5.95,175.816,16.4252,7.75838
6,175.672,16.4875,7.84067
6.05,175.527,16.55,7.92326
6.1,175.381,16.6125,8.00617
6.15,175.235,16.6752,8.08939
6.2,175.089,16.738,8.17292
6.25,174.942,16.8009,8.25677
6.3,174.795,16.8639,8.34093
6.35,174.648,16.927,8.42541
6.4,174.5,16.9903,8.5102
6.45,174.351,17.0536,8.59531
6.5,174.202,17.1171,8.68073
6.55,174.053,17.1806,8.76648
6.6,173.903,17.2443,8.85254
6.65,173.753,17.3081,8.93892
6.7,173.602,17.3719,9.02562
6.75,173.451,17.4359,9.11264
6.8,173.3,17.5,9.19998
6.85,173.148,17.5642,9.28764
6.9,172.996,17.6285,9.37562
6.95,172.843,17.6929,9.46393
7,172.69,17.7574,9.55255
7.05,172.537,17.822,9.6415
7.1,172.383,17.8866,9.73077
7.15,172.228,17.9514,9.82037
7.2,172.073,18.0163,9.91029
7.25,171.918,18.0813,10.0005
7.3,171.763,18.1463,10.0911
7.35,171.607,18.2115,10.182
7.4,171.45,18.2767,10.2732
7.45,171.293,18.3421,10.3648
7.5,171.136,18.4075,10.4566
7.55,170.978,18.473,10.5488
7.6,170.82,18.5386,10.6414
7.65,170.661,18.6043,10.7342
7.7,170.503,18.6701,10.8274
7.75,170.343,18.7359,10.9209
7.8,170.183,18.8019,11.0148
7.85,170.023,18.8679,11.1089
7.9,169.863,18.934,11.2034
7.95,169.702,19.0002,11.2983
8,169.54,19.0664,11.3934
8.05,169.378,19.1328,11.4889
8.1,169.216,19.1992,11.5848
8.15,169.053,19.2657,11.6809
8.2,168.89,19.3322,11.7774
8.25,168.727,19.3988,11.8743
8.3,168.563,19.4655,11.9714
8.35,168.399,19.5323,12.0689
8.4,168.234,19.5991,12.1667
8.45,168.069,19.666,12.2649
8.5,167.904,19.733,12.3634
8.55,167.738,19.8,12.4622
8.6,167.571,19.8671,12.5614
8.65,167.405,19.9343,12.6609
8.7,167.238,20.0015,12.7607
8.75,167.07,20.0688,12.8609
8.8,166.902,20.1361,12.9614
8.85,166.734,20.2035,13.0623
8.9,166.566,20.2709,13.1635
8.95,166.397,20.3384,13.265
9,166.227,20.4059,13.3669
9.05,166.057,20.4735,13.4691
9.1,165.887,20.5412,13.5716
9.15,165.717,20.6089,13.6745
9.2,165.546,20.6766,13.7777
9.25,165.374,20.7444,13.8812
9.3,165.203,20.8122,13.9851
9.35,165.031,20.8801,14.0894
9.4,164.858,20.948,14.1939
9.45,164.685,21.016,14.2988
9.5,164.512,21.084,14.4041
9.55,164.338,21.152,14.5097
9.6,164.164,21.2201,14.6156
9.65,163.99,21.2881,14.7219
9.7,163.815,21.3563,14.8285
9.75,163.64,21.4244,14.9354
9.8,163.465,21.4926,15.0427
9.85,163.289,21.5608,15.1504
9.9,163.113,21.6291,15.2583
9.95,162.936,21.6973,15.3667
10,162.759,21.7656,15.4753
10.05,162.582,21.8339,15.5843
10.1,162.404,21.9023,15.6937
10.15,162.226,21.9706,15.8033
10.2,162.048,22.039,15.9134
10.25,161.869,22.1074,16.0237
10.3,161.69,22.1758,16.1344
10.35,161.51,22.2442,16.2455
10.4,161.331,22.3126,16.3569
10.45,161.15,22.381,16.4686
10.5,160.97,22.4494,16.5807
10.55,160.789,22.5179,16.6931
10.6,160.608,22.5863,16.8059
10.65,160.426,22.6548,16.919
10.7,160.244,22.7232,17.0324
10.75,160.062,22.7917,17.1462
10.8,159.88,22.8601,17.2603
10.85,159.697,22.9286,17.3748
10.9,159.513,22.997,17.4896
10.95,159.33,23.0654,17.6048
11,159.146,23.1338,17.7203
11.05,158.962,23.2022,17.8361
11.1,158.777,23.2706,17.9523
11.15,158.592,23.339,18.0688
11.2,158.407,23.4074,18.1857
11.25,158.221,23.4757,18.3029
11.3,158.036,23.5441,18.4204
11.35,157.849,23.6124,18.5383
11.4,157.663,23.6807,18.6566
11.45,157.476,23.7489,18.7751
11.5,157.289,23.8172,18.894
11.55,157.101,23.8854,19.0133
11.6,156.914,23.9535,19.1329
11.65,156.725,24.0217,19.2528
11.7,156.537,24.0898,19.3731
11.75,156.348,24.1579,19.4937
11.8,156.159,24.2259,19.6147
11.85,155.97,24.2939,19.736
11.9,155.78,24.3619,19.8576
11.95,155.591,24.4298,19.9796
12,155.4,24.4977,20.1019
12.05,155.21,24.5655,20.2246
12.1,155.019,24.6333,20.3476
12.15,154.828,24.7011,20.4709
12.2,154.637,24.7688,20.5946
12.25,154.445,24.8364,20.7186
12.3,154.253,24.904,20.843
12.35,154.061,24.9715,20.9677
12.4,153.868,25.039,21.0927
12.45,153.676,25.1064,21.218
12.5,153.483,25.1737,21.3437
12.55,153.289,25.241,21.4698
12.6,153.096,25.3083,21.5962
12.65,152.902,25.3754,21.7229
12.7,152.708,25.4425,21.8499
12.75,152.513,25.5095,21.9773
12.8,152.319,25.5764,22.105
12.85,152.124,25.6433,22.2331
12.9,151.928,25.7101,22.3614
12.95,151.733,25.7768,22.4902
13,151.537,25.8435,22.6192
13.05,151.341,25.91,22.7486
13.1,151.145,25.9765,22.8783
13.15,150.949,26.0429,23.0084
13.2,150.752,26.1092,23.1387
13.25,150.555,26.1754,23.2694
13.3,150.358,26.2415,23.4005
13.35,150.161,26.3075,23.5319
13.4,149.963,26.3735,23.6636
13.45,149.765,26.4393,23.7956
13.5,149.567,26.505,23.928
13.55,149.369,26.5707,24.0606
13.6,149.17,26.6362,24.1937
13.65,148.971,26.7016,24.327
13.7,148.772,26.767,24.4607
13.75,148.573,26.8322,24.5947
13.8,148.374,26.8973,24.729
13.85,148.174,26.9623,24.8636
13.9,147.974,27.0272,24.9986
13.95,147.774,27.092,25.1339
14,147.574,27.1566,25.2695
14.05,147.373,27.2212,25.4055
14.1,147.173,27.2856,25.5418
